Date,Open,High,Low,Close,Volume
2024-07-08,2155.5,2155.5,2155.5,2155.5,1
2024-07-09,2115.5,2115.5,2115.5,2115.5,1
2024-07-12,2011.5,2011.5,2011.5,2011.5,1
2024-07-15,1956.2,1956.2,1956.2,1956.2,1
2024-07-29,1876.4,1876.4,1876.4,1876.4,7
2024-09-11,1982.8,1982.8,1982.8,1982.8,1
2024-09-12,2009.5,2009.5,2009.5,2009.5,1
2024-09-20,2139.5,2139.5,2139.5,2139.5,2
2024-10-31,2345.5,2345.5,2345.5,2345.5,1
2024-11-04,2315,2315,2304.5,2304.5,35
2024-11-12,2332,2448.5,2332,2448.5,5
2024-12-02,2407.5,2407.5,2397,2397,4
2024-12-12,2601,2601,2601,2601,1
2025-01-02,2470,2470,2470,2470,1
2025-01-03,2522.5,2522.5,2522.5,2522.5,1
2025-01-10,2525,2525,2525,2525,2
2025-01-15,2558,2558,2558,2558,3
2025-01-23,2552.5,2552.5,2552.5,2552.5,1
2025-01-24,2550,2550,2550,2550,2
2025-01-31,2809.5,2809.5,2809.5,2809.5,2
2025-02-05,2890,2890,2890,2890,4
2025-02-06,2930,2930,2890,2890,12
2025-02-18,2880,2880,2880,2880,6
2025-02-24,2739,2739,2739,2739,1
2025-02-25,2624.5,2630,2624.5,2624.5,5
2025-02-26,2620,2620,2615,2615,2
2025-02-27,2674.5,2674.5,2674.5,2674.5,1
2025-02-28,2663.5,2663.5,2663.5,2663.5,1
2025-03-03,2689.5,2689.5,2689.5,2689.5,3
2025-03-11,2340.5,2340.5,2312,2312,9
2025-03-12,2400,2400,2400,2400,2
2025-03-13,2376,2376,2376,2376,1
2025-03-21,2269.5,2269.5,2269.5,2269.5,5
2025-03-25,2411,2411,2411,2411,2
2025-03-27,2370,2370,2370,2370,7
2025-04-10,2300,2300,2300,2300,1
2025-04-11,2141,2141,2048,2048,6
2025-04-14,2093.5,2093.5,2093.5,2093.5,2
2025-04-15,2023,2023,2023,2023,1
2025-04-23,1980,1980,1980,1980,1
2025-04-28,2060,2060,2060,2060,2
2025-04-29,2073.5,2073.5,2073.5,2073.5,10
2025-05-08,2295,2295,2289.5,2289.5,14
2025-05-09,2275,2275,2259.5,2259.5,15
2025-05-12,2411,2411,2411,2411,2
2025-05-13,2489.5,2489.5,2450,2481,97
2025-05-14,2501.5,2501.5,2501.5,2501.5,5
2025-05-15,2444,2444,2444,2444,2
2025-05-28,2416,2416,2416,2416,2
2025-06-06,2564,2564,2564,2564,2
2025-06-09,2622,2622,2622,2622,4
2025-06-12,2557,2557,2557,2557,1
2025-06-16,2551.5,2551.5,2551.5,2551.5,1
2025-06-18,2617,2617,2617,2617,4
2025-06-23,2581,2581,2577,2577,3
2025-06-26,2569,2569,2569,2569,8
2025-06-27,2628.5,2628.5,2628.5,2628.5,12
2025-07-01,2638.5,2638.5,2638.5,2638.5,2
2025-07-02,2617,2617,2617,2617,3
2025-07-11,2652.5,2652.5,2652.5,2652.5,1
